consensus,function,placement,No. user,No. miner,No. minerNeighbours,init No. tx:,delay between fog node(ms),delay between end users(ms),upload bandwidth(KB/S),download bandwidth(KB/S),gossip,fail pending time(secs),queue limit,injection rate(per sec),tx per block,<-parameter / result->,final No. block,fail time(secs),average transaction pending time(ms),average block time(ms),simulation time(sec),total prepare time(sec),total upload time(sec),total download time(sec),total network delay time(sec),elapsed time(secs),average upload data(bytes),average download data(bytes)
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,10500,400,<-parameter / result->,4,-1.0,30.08408426864769,19.341485500335693,0.07736594200134278,3.790855407714844e-05,0.03625,0.018125,0.0,0.026304006576538086,371.2,92.8
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,10500,400,<-parameter / result->,5,-1.0,35.36509430293103,23.473119735717777,0.11736559867858888,3.933906555175781e-05,0.056640625,0.0283203125,0.0,0.03580927848815918,580.0,116.0
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,10500,400,<-parameter / result->,4,-1.0,22.336447429193715,14.280436038970945,0.05712174415588378,2.7418136596679688e-05,0.027187499999999996,0.013593749999999998,0.0,0.018491268157958984,278.4,92.8
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,10500,400,<-parameter / result->,5,-1.0,32.60587295021993,21.84429168701172,0.10922145843505861,4.00543212890625e-05,0.056640625,0.0283203125,0.0,0.026948928833007812,580.0,116.0
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,10500,400,<-parameter / result->,20,0.858193111419678,70.09304600238787,42.9096555709839,0.858193111419678,0.00015878677368164062,0.3625,0.18125,0.0,0.32646918296813965,3712.0,464.0
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,10500,400,<-parameter / result->,7,-1.0,39.3749141973711,27.872438430786133,0.19510706901550293,5.1975250244140625e-05,0.09515625,0.047578125,0.0,0.0565643310546875,974.4,162.4
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,10500,400,<-parameter / result->,23,0.9738092136383059,63.68242457949531,42.33953102775243,0.9738092136383059,0.00020170211791992188,0.3647656250000001,0.18238281250000005,0.0,0.43944382667541504,3735.2,533.6
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,10500,400,<-parameter / result->,4,-1.0,30.05223756466273,19.210176467895508,0.07684070587158204,3.0040740966796875e-05,0.03625,0.018125,0.0,0.025174379348754883,371.2,92.8
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,10500,400,<-parameter / result->,20,0.8670908927917483,74.02389237642274,43.35454463958742,0.8670908927917483,0.00016546249389648438,0.3625,0.18125,0.0,0.33660411834716797,3712.0,464.0
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,10600,400,<-parameter / result->,7,-1.0,40.164354163942235,27.967294965471538,0.19577106475830078,5.435943603515625e-05,0.09515625,0.047578125,0.0,0.0582582950592041,974.4,162.4
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,10600,400,<-parameter / result->,5,-1.0,35.399454193347815,23.36974143981934,0.1168487071990967,3.695487976074219e-05,0.056640625,0.0283203125,0.0,0.03545570373535156,580.0,116.0
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,10600,400,<-parameter / result->,4,-1.0,29.744422543317764,19.186573028564453,0.07674629211425782,2.956390380859375e-05,0.03625,0.018125,0.0,0.025852203369140625,371.2,92.8
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,10600,400,<-parameter / result->,4,-1.0,22.969222301790325,14.802215099334715,0.05920886039733886,2.8371810913085938e-05,0.027187499999999996,0.013593749999999998,0.0,0.02063274383544922,278.4,92.8
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,10600,400,<-parameter / result->,5,-1.0,32.08892425737882,21.801710128784183,0.10900855064392091,3.647804260253906e-05,0.056640625,0.0283203125,0.0,0.026911258697509766,580.0,116.0
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,10600,400,<-parameter / result->,5,-1.0,32.185614486283875,21.653413772583008,0.10826706886291504,3.528594970703125e-05,0.056640625,0.0283203125,0.0,0.026142597198486328,580.0,116.0
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,10600,400,<-parameter / result->,6,-1.0,37.6208264133186,25.987898508707683,0.1559273910522461,4.458427429199219e-05,0.0815625,0.04078125,0.0,0.03708696365356445,835.2,139.2
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,10600,400,<-parameter / result->,5,-1.0,32.19194258980303,21.6670036315918,0.108335018157959,3.62396240234375e-05,0.056640625,0.0283203125,0.0,0.026105165481567383,580.0,116.0
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,10600,400,<-parameter / result->,5,-1.0,32.56175750213145,21.96965217590332,0.1098482608795166,3.600120544433594e-05,0.056640625,0.0283203125,0.0,0.027449369430541992,580.0,116.0
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,10600,400,<-parameter / result->,9,-1.0,42.40143677614725,31.08549224005806,0.2797694301605225,6.389617919921875e-05,0.142734375,0.0713671875,0.0,0.07178783416748047,1461.6,208.8
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,10700,400,<-parameter / result->,4,-1.0,21.27554825564336,14.14602756500244,0.05658411026000976,2.9087066650390625e-05,0.027187499999999996,0.013593749999999998,0.0,0.018145322799682617,278.4,92.8
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,10700,400,<-parameter / result->,4,-1.0,27.511416451929403,17.766015529632565,0.07106406211853027,2.7894973754882812e-05,0.03625,0.018125,0.0,0.018927812576293945,371.2,92.8
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,10700,400,<-parameter / result->,4,-1.0,28.036342618410508,17.9618763923645,0.071847505569458,2.8848648071289062e-05,0.03625,0.018125,0.0,0.01978588104248047,371.2,92.8
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,10700,400,<-parameter / result->,5,-1.0,31.68900991290932,21.747970581054688,0.10873985290527344,5.14984130859375e-05,0.056640625,0.0283203125,0.0,0.026415109634399414,580.0,116.0
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,10700,400,<-parameter / result->,6,-1.0,37.56539057873656,25.785242716471355,0.15471145629882813,4.267692565917969e-05,0.0815625,0.04078125,0.0,0.03556108474731445,835.2,139.2
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,10700,400,<-parameter / result->,4,-1.0,28.39614011679483,18.403427600860592,0.07361371040344238,5.53131103515625e-05,0.03625,0.018125,0.0,0.021715641021728516,371.2,92.8
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,10700,400,<-parameter / result->,4,-1.0,21.529010661210794,14.37413454055786,0.057496538162231436,2.9802322387695312e-05,0.027187499999999996,0.013593749999999998,0.0,0.01948404312133789,278.4,92.8
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,10700,400,<-parameter / result->,5,-1.0,32.66840828289776,21.965408325195312,0.10982704162597658,3.552436828613281e-05,0.056640625,0.0283203125,0.0,0.02743077278137207,580.0,116.0
