No. user: 10, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 40 , average tx time(secs): 2.863088369369507 , elapsed time(secs): 114.52353477478027
No. user: 10, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 40 , average tx time(secs): 2.392175853252411 , elapsed time(secs): 95.68703413009644
No. user: 10, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 40 , average tx time(secs): 3.291144871711731 , elapsed time(secs): 131.64579486846924
No. user: 10, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 40 , average tx time(secs): 2.9091703593730927 , elapsed time(secs): 116.3668143749237
No. user: 10, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 40 , average tx time(secs): 3.2334937691688537 , elapsed time(secs): 129.33975076675415
No. user: 10, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 40 , average tx time(secs): 2.8337415754795074 , elapsed time(secs): 113.3496630191803
No. user: 10, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 40 , average tx time(secs): 3.526283860206604 , elapsed time(secs): 141.05135440826416
No. user: 10, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 40 , average tx time(secs): 2.803421068191528 , elapsed time(secs): 112.13684272766113
No. user: 10, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 40 , average tx time(secs): 3.1731426775455476 , elapsed time(secs): 126.9257071018219
No. user: 10, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 40 , average tx time(secs): 2.6168739020824434 , elapsed time(secs): 104.67495608329773
No. user: 10, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 40 , average tx time(secs): 3.2866624772548674 , elapsed time(secs): 131.4664990901947
No. user: 10, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 40 , average tx time(secs): 3.0841969907283784 , elapsed time(secs): 123.36787962913513
No. user: 10, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 40 , average tx time(secs): 3.2177537620067596 , elapsed time(secs): 128.71015048027039
No. user: 10, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 40 , average tx time(secs): 3.6100892782211305 , elapsed time(secs): 144.40357112884521
No. user: 10, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 40 , average tx time(secs): 2.9493351757526396 , elapsed time(secs): 117.97340703010559
No. user: 10, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 40 , average tx time(secs): 2.840738093852997 , elapsed time(secs): 113.62952375411987
No. user: 10, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 40 , average tx time(secs): 3.506649452447891 , elapsed time(secs): 140.26597809791565
No. user: 15, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 60 , average tx time(secs): 2.849201778570811 , elapsed time(secs): 170.95210671424866
No. user: 15, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 60 , average tx time(secs): 2.8641135573387144 , elapsed time(secs): 171.84681344032288
No. user: 15, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 60 , average tx time(secs): 3.0549692551294965 , elapsed time(secs): 183.29815530776978
No. user: 15, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 60 , average tx time(secs): 3.0804905772209166 , elapsed time(secs): 184.829434633255
No. user: 15, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 60 , average tx time(secs): 3.2143611709276834 , elapsed time(secs): 192.861670255661
No. user: 15, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 60 , average tx time(secs): 3.17761713663737 , elapsed time(secs): 190.6570281982422
No. user: 15, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 60 , average tx time(secs): 2.8204816937446595 , elapsed time(secs): 169.22890162467957
No. user: 15, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 60 , average tx time(secs): 3.0296266237894693 , elapsed time(secs): 181.77759742736816
No. user: 15, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 60 , average tx time(secs): 3.3031880617141725 , elapsed time(secs): 198.19128370285034
No. user: 15, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 60 , average tx time(secs): 3.1105202555656435 , elapsed time(secs): 186.6312153339386
No. user: 15, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 60 , average tx time(secs): 2.884448532263438 , elapsed time(secs): 173.06691193580627
