No. user,No. miner,No. minerNeighbours,init No. tx:,delay between fog node(ms),delay between end users(ms),upload bandwidth(KB/S),download bandwidth(KB/S),gossip,fail pending time(secs),queue limit,injection rate(per sec),tx per block,<-parameter / result->,final No. block,fail time(secs),average transaction pending time(ms),average block time(ms),average uploadtime(ms),average downloadtime(ms),simulation time(sec),total upload time(sec),total download time(sec),total network delay time(sec),elapsed time(secs)
10,10,3,1000,0,0,100.0,200.0,False,-2,2000,110,300,<-parameter / result->,7,-1.0,2598.2595521575568,1458.70167187282,972.1958705357142,486.0979352678571,10.21091170310974,6.80537109375,3.402685546875,0.0,0.010086774826049805
10,10,3,1000,0,0,100.0,200.0,False,-2,2000,110,300,<-parameter / result->,7,-1.0,2612.647240457379,1449.002937589373,965.7338169642858,482.8669084821429,10.14302056312561,6.76013671875,3.380068359375,0.0,0.010045528411865234
10,10,3,1000,0,0,100.0,200.0,False,-2,2000,120,300,<-parameter / result->,5,-1.0,1320.7678586168556,633.9758300781251,422.40234374999994,211.20117187499997,3.169879150390625,2.11201171875,1.056005859375,0.0,0.005317211151123047
10,10,3,1000,0,0,100.0,200.0,False,-2,2000,120,300,<-parameter / result->,5,-1.0,1315.6256803401047,635.7656517028809,423.59765625,211.798828125,3.1788282585144043,2.11798828125,1.058994140625,0.0,0.005124092102050781
10,10,3,1000,0,0,100.0,200.0,False,-2,2000,120,300,<-parameter / result->,5,-1.0,1799.8891064009408,932.6175804138182,621.4765625,310.73828125,4.663087902069091,3.1073828125,1.55369140625,0.0,0.006078481674194336
10,10,3,1000,0,0,100.0,200.0,False,-2,2000,120,300,<-parameter / result->,7,-1.0,2722.0010469517874,1532.3439707074847,1021.2723214285712,510.6361607142856,10.726407794952392,7.14890625,3.574453125,0.0,0.010510444641113281
10,10,3,1000,0,0,100.0,200.0,False,-2,2000,120,300,<-parameter / result->,7,-1.0,2728.653310006259,1538.3226789746964,1025.2566964285716,512.6283482142858,10.768258752822875,7.176796875000001,3.5883984375000004,0.0,0.010604143142700195
10,10,3,1000,0,0,100.0,200.0,False,-2,2000,120,300,<-parameter / result->,5,-1.0,1803.2588980900277,931.2997035980223,620.59375,310.296875,4.656498517990112,3.1029687500000005,1.5514843750000002,0.0,0.006125926971435547
10,10,3,1000,0,0,100.0,200.0,False,-2,2000,120,300,<-parameter / result->,7,-1.0,2715.1419760166914,1526.0427965436666,1017.0703124999998,508.5351562499999,10.682299575805665,7.119492187499999,3.5597460937499994,0.0,0.010664939880371094
10,10,3,1000,0,0,100.0,200.0,False,-2,2000,120,300,<-parameter / result->,10,-1.0,3169.2293526485428,1861.5712242126467,1240.7499999999998,620.3749999999999,18.615712242126467,12.407499999999999,6.203749999999999,0.0,0.016382455825805664
10,10,3,1000,0,0,100.0,200.0,False,-2,2000,120,300,<-parameter / result->,6,-1.0,2223.3559566911663,1203.8504203160603,802.2786458333334,401.1393229166667,7.223102521896362,4.813671875000001,2.4068359375000004,0.0,0.007972240447998047
10,10,3,1000,0,0,100.0,200.0,False,-2,2000,120,300,<-parameter / result->,7,-1.0,2712.635990125473,1524.328361238752,1015.9319196428571,507.96595982142856,10.670298528671264,7.1115234375,3.55576171875,0.0,0.010224342346191406
10,10,3,1000,0,0,100.0,200.0,False,-2,2000,130,300,<-parameter / result->,5,-1.0,1816.533170745026,965.6781883239745,643.5078125,321.75390625,4.8283909416198725,3.2175390624999998,1.6087695312499999,0.0,0.0062770843505859375
10,10,3,1000,0,0,100.0,200.0,False,-2,2000,130,300,<-parameter / result->,6,-1.0,2272.9276853949264,1253.5039027531943,835.3922526041666,417.6961263020833,7.521023416519165,5.012353515625,2.5061767578125,0.0,0.008198022842407227
10,10,3,1000,0,0,100.0,200.0,False,-2,2000,130,300,<-parameter / result->,5,-1.0,1829.2807719652924,964.873420715332,642.9609375,321.48046875,4.82436710357666,3.2148046875,1.60740234375,0.0,0.006480693817138672
10,10,3,1000,0,0,100.0,200.0,False,-2,2000,130,300,<-parameter / result->,9,-1.0,2656.2445744967235,1539.1690964168972,1025.8268229166667,512.9134114583334,13.852521867752074,9.23244140625,4.616220703125,0.0,0.013285398483276367
10,10,3,1000,0,0,100.0,200.0,False,-2,2000,130,300,<-parameter / result->,5,-1.0,1828.0006297237167,973.7191581726074,648.8671874999999,324.43359374999994,4.868595790863037,3.2443359375,1.62216796875,0.0,0.006233930587768555
10,10,3,1000,0,0,100.0,200.0,False,-2,2000,130,300,<-parameter / result->,6,-1.0,2276.2289935337176,1256.1218420664468,837.1256510416667,418.56282552083337,7.5367310523986815,5.02275390625,2.511376953125,0.0,0.008298635482788086
10,10,3,1000,0,0,100.0,200.0,False,-2,2000,130,300,<-parameter / result->,6,-1.0,2281.22725359457,1259.1216484705606,839.1031901041666,419.5515950520833,7.5547298908233635,5.034619140625,2.5173095703125,0.0,0.008674860000610352
10,10,3,1000,0,0,100.0,200.0,False,-2,2000,130,300,<-parameter / result->,6,-1.0,2263.3886692042797,1238.3588631947832,825.2848307291669,412.6424153645834,7.4301531791687,4.951708984375001,2.4758544921875005,0.0,0.008293628692626953
